id,company_name,establishment_name,ein,street_address,city,state,zip_code,naics_code,industry_description,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_poisonings,total_respiratory_conditions,total_skin_disorders,total_hearing_loss,total_other_illnesses,establishment_id,establishment_type,size,year_filing_for,created_timestamp,change_reason
1160999,Integrated DNA Technologies ,Life Sciences : IDT - Coralville 1710,421301142.0,1710 Commercial Park,Coralville,IA,52241,325199,All other Basic Organic Chemical Manufacturing  ,627,1264982,1,0,2,0,4,29,168,5,0,0,0,0,1,667327,1.0,3,2020,2/2/2021 17:52:51,
1161222,"PAN AMERICAN GRAIN CO., INC",PAN AMERICAN GRAIN COMPANY-FERTILIZER,,CARR. 333 KM 1.9,GUANICA,PR,653,325311," Fertilizers, mixed, made in plants producing nitrogenous fertilizer materials ",34,76063,2,0,0,0,0,0,0,0,0,0,0,0,0,356229,1.0,2,2020,2/2/2021 18:20:21,
1162048,Cabot Corporation,Cabot-Ville Platte,42271897.0,2066 Cabot Road,Ville Platte,LA,70586,325180, Carbon black manufacturing ,90,181299,2,0,0,0,0,0,0,0,0,0,0,0,0,66938,1.0,2,2020,2/2/2021 19:36:03,
1162051,"Coffeyville Resources Nitrogen Fertilizers, LLC",Coffeyville Resources Nitrogen Fertilizers,,701 East Martin,Coffeyville ,KS,67337,325311," Ammonia, anhydrous and aqueous, manufacturing ",130,283836,1,0,2,0,1,32,0,3,0,0,0,0,0,354753,1.0,2,2020,2/2/2021 19:36:12,
1162653,GEO Specialty Chemicals,GEO Specialty Chemicals - Deer Park,,739 Independence Parkway South,Deer Park,TX,77536,325199," Sugar substitutes (i.e., synthetic sweeteners blended with other ingredients) made in synthetic sweetener establishments ",67,129822,2,0,0,0,0,0,0,0,0,0,0,0,0,233269,1.0,2,2020,2/2/2021 20:26:58,
1162848,Gelest Inc.,Gelest ,,11 east steel rd,morrisville,PA,19067,325199, Organo-inorganic compound manufacturing ,150,286665,1,0,1,0,1,3,15,2,0,0,0,0,0,303334,1.0,2,2020,2/2/2021 20:56:51,
1163331,"Dharmacon, Inc. dba Horizon Discovery","Dharmacon, Inc dba Horizon Discovery",,"2650 Crescent Drive, Suite 100",Lafayette,CO,80026,325199, Organo-inorganic compound manufacturing ,130,270400,2,0,0,0,0,0,0,0,0,0,0,0,0,424646,1.0,2,2020,2/2/2021 22:15:52,
1163684,EMD Acquisition LLC,Borman Specialty Materials,824425456.0,560 West Lake Mead Parkway,Henderson,NV,89015,325180, Manganese dioxide manufacturing ,86,162779,1,0,1,0,0,1,0,1,0,0,0,0,0,424016,1.0,2,2020,2/2/2021 23:40:26,
1164103,Albemarle,Albemarle,,13000 Bay Park Road,Pasadena,TX,77507,325180, Sodium aluminate manufacturing ,287,582106,2,0,0,0,0,0,0,0,0,0,0,0,0,407659,1.0,3,2020,2/3/2021 13:43:47,
1164277,"Haldor Topsoe, Inc.","Haldor Topsoe, Inc.",131943844.0,10010 Bayport Blvd.,Pasadena,TX,77507,325180," Aluminum compounds, not specified elsewhere by process, manufacturing ",123,257091,2,0,0,0,0,0,0,0,0,0,0,0,0,604352,1.0,2,2020,2/3/2021 14:37:13,
